<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PETR3.SA,D,20071017,000000,76.60,77.80,75.15,77.70,2302600,0
PETR3.SA,D,20071018,000000,76.98,77.47,76.04,77.00,1637100,0
PETR3.SA,D,20071019,000000,76.60,77.05,72.55,73.00,1852800,0
PETR3.SA,D,20071022,000000,71.50,72.83,70.16,72.29,1518900,0
PETR3.SA,D,20071023,000000,73.00,74.69,72.29,74.69,1074500,0
PETR3.SA,D,20071024,000000,74.48,77.30,73.15,77.30,2122100,0
PETR3.SA,D,20071025,000000,77.49,78.10,76.20,78.10,2520500,0
PETR3.SA,D,20071026,000000,78.18,81.26,78.18,81.26,1697000,0
PETR3.SA,D,20071029,000000,82.00,84.25,82.00,83.48,3009700,0
PETR3.SA,D,20071030,000000,81.65,83.44,79.85,80.15,2700700,0
PETR3.SA,D,20071031,000000,81.20,83.95,80.25,82.78,2163600,0
PETR3.SA,D,20071101,000000,81.01,82.47,80.17,81.66,2013100,0
PETR3.SA,D,20071105,000000,80.46,80.60,78.17,78.17,2585900,0
PETR3.SA,D,20071106,000000,80.61,81.55,79.31,81.48,2114100,0
PETR3.SA,D,20071107,000000,80.99,83.68,80.65,81.52,1991600,0
PETR3.SA,D,20071108,000000,85.00,97.00,84.51,93.30,5099000,0
PETR3.SA,D,20071109,000000,104.50,105.00,90.00,95.91,5035900,0
PETR3.SA,D,20071112,000000,91.72,94.20,88.69,89.01,1720800,0
PETR3.SA,D,20071113,000000,89.00,91.71,85.16,90.62,2248600,0
PETR3.SA,D,20071114,000000,92.30,94.75,92.20,92.51,1712600,0
PETR3.SA,D,20071116,000000,89.90,92.74,89.90,92.05,1939600,0
PETR3.SA,D,20071119,000000,92.05,92.05,89.41,90.30,1697800,0
PETR3.SA,D,20071121,000000,91.00,92.85,88.31,88.70,2589900,0
PETR3.SA,D,20071122,000000,89.90,90.00,88.19,89.35,1141700,0
PETR3.SA,D,20071123,000000,90.00,91.35,89.30,89.40,1497700,0
PETR3.SA,D,20071126,000000,90.03,91.70,88.00,88.00,1640000,0
PETR3.SA,D,20071127,000000,85.50,88.37,83.91,86.81,1486700,0
PETR3.SA,D,20071128,000000,88.61,89.88,86.23,86.51,1827700,0
PETR3.SA,D,20071129,000000,88.01,88.60,85.40,86.51,2080400,0
PETR3.SA,D,20071130,000000,86.51,88.40,84.60,84.60,3159200,0
PETR3.SA,D,20071203,000000,87.00,87.00,84.14,86.00,1888200,0
PETR3.SA,D,20071204,000000,85.60,88.53,85.50,87.49,998200,0
PETR3.SA,D,20071205,000000,88.53,92.48,88.53,92.30,1903000,0
PETR3.SA,D,20071206,000000,92.40,94.25,92.40,94.25,1710000,0
PETR3.SA,D,20071207,000000,96.30,99.02,93.56,93.90,1404900,0
PETR3.SA,D,20071210,000000,94.16,94.16,92.26,92.80,1706000,0
PETR3.SA,D,20071211,000000,93.30,95.91,92.86,94.49,2137100,0
PETR3.SA,D,20071212,000000,95.00,100.40,93.50,99.02,3208700,0
PETR3.SA,D,20071213,000000,96.00,98.75,95.64,96.31,1104300,0
PETR3.SA,D,20071214,000000,97.51,98.86,95.03,95.70,1841100,0
PETR3.SA,D,20071217,000000,95.70,95.70,90.85,90.85,2397700,0
PETR3.SA,D,20071218,000000,93.05,94.10,90.59,93.10,1118900,0
PETR3.SA,D,20071219,000000,94.01,95.99,92.90,95.80,1444000,0
PETR3.SA,D,20071220,000000,95.97,98.81,95.11,97.90,1562100,0
PETR3.SA,D,20071221,000000,101.00,101.80,99.80,100.61,1720300,0
PETR3.SA,D,20071226,000000,103.40,103.80,101.04,103.50,1662700,0
PETR3.SA,D,20071227,000000,103.80,104.20,101.63,103.35,1157600,0
PETR3.SA,D,20071228,000000,103.70,105.00,102.70,105.00,1845300,0
PETR3.SA,D,20080102,000000,103.00,105.00,102.80,104.31,1305400,0
PETR3.SA,D,20080103,000000,103.75,104.58,102.50,102.80,2003400,0
